unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,facility_type,due_date
51143675,2021-07-08T16:04:00.000,2021-07-09T10:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10471,6485 BROADWAY,BROADWAY,DAVID SHERIDAN PLZA,W 259 ST,ADDRESS,BRONX,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2021-07-09T10:30:00.000,08 BRONX,2058560378,BRONX,1012872,269139,ONLINE,Unspecified,BRONX,40.905351378307486,-73.89645716668805,"{'latitude': '40.905351378307486', 'longitude': '-73.89645716668805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,
51145094,2021-07-08T16:00:00.000,2021-07-08T20:45:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10034,200 NAGLE AVENUE,NAGLE AVENUE,,,ADDRESS,NEW YORK,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2021-07-08T20:45:00.000,12 MANHATTAN,1022170035,MANHATTAN,1005446,253374,ONLINE,Unspecified,MANHATTAN,40.86210236351487,-73.9233713087911,"{'latitude': '40.86210236351487', 'longitude': '-73.9233713087911', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,
51146482,2021-07-08T21:04:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11236,1035 EAST  102 STREET,EAST  102 STREET,AVENUE J,AVENUE K,ADDRESS,BROOKLYN,Open,,,18 BROOKLYN,3082290026,BROOKLYN,1013591,173827,ONLINE,Unspecified,BROOKLYN,40.6437429889248,-73.89427228300471,"{'latitude': '40.6437429889248', 'longitude': '-73.89427228300471', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,
51148924,2021-07-08T17:04:00.000,2021-07-09T07:44:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10471,,,,,INTERSECTION,BRONX,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-07-09T07:44:00.000,08 BRONX,,BRONX,1011350,267454,ONLINE,Unspecified,BRONX,40.900731405929164,-73.901969964742,"{'latitude': '40.900731405929164', 'longitude': '-73.901969964742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FIELDSTON ROAD,WEST 253 STREET,,
51139519,2021-07-08T16:44:00.000,2021-07-09T17:15:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11432,172-39 HIGHLAND AVENUE,HIGHLAND AVENUE,KINGSTON PL,AVA PL,ADDRESS,Jamaica,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2021-07-09T17:15:00.000,08 QUEENS,4098827501,QUEENS,1042509,199250,PHONE,Unspecified,QUEENS,40.71338015366497,-73.78984933362548,"{'latitude': '40.71338015366497', 'longitude': '-73.78984933362548', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,
51140850,2021-07-08T18:02:00.000,2021-07-09T03:15:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10030,101 EDGECOMBE AVENUE,EDGECOMBE AVENUE,W 139 ST,W 140 ST,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection investigated this complaint and referred it to another agency or utility for further action.,2021-07-09T03:15:00.000,10 MANHATTAN,1020480021,MANHATTAN,999216,237971,PHONE,Unspecified,MANHATTAN,40.8198383891247,-73.94592863911315,"{'latitude': '40.8198383891247', 'longitude': '-73.94592863911315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,
51144795,2021-07-08T17:01:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11358,,,,,INTERSECTION,Flushing,Open,,,11 QUEENS,,QUEENS,1043750,213991,ONLINE,Unspecified,QUEENS,40.7538321915861,-73.78524247944887,"{'latitude': '40.7538321915861', 'longitude': '-73.78524247944887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",46 AVENUE,196 STREET,,
51140818,2021-07-08T16:14:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10460,,,,,INTERSECTION,BRONX,Open,,,11 BRONX,,BRONX,1019944,246472,ONLINE,Unspecified,BRONX,40.843111729894126,-73.87099432352781,"{'latitude': '40.843111729894126', 'longitude': '-73.87099432352781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MELVILLE STREET,MORRIS PARK AVENUE,,
51143525,2021-07-08T16:07:00.000,2021-07-08T16:07:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10463,3800 BLACKSTONE AVENUE,BLACKSTONE AVENUE,W 238 ST,W 239 ST,ADDRESS,BRONX,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-07-08T16:07:00.000,08 BRONX,2059047501,BRONX,1008716,263264,ONLINE,Unspecified,BRONX,40.88923889237729,-73.91151335381694,"{'latitude': '40.88923889237729', 'longitude': '-73.91151335381694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,
51148895,2021-07-08T15:49:00.000,2021-07-09T09:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10456,777 EAST  169 STREET,EAST  169 STREET,TINTON AVE,UNION AVE,ADDRESS,BRONX,Closed,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2021-07-09T09:30:00.000,03 BRONX,2029610010,BRONX,1012071,241911,PHONE,Unspecified,BRONX,40.83062142871432,-73.8994679031595,"{'latitude': '40.83062142871432', 'longitude': '-73.8994679031595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,
